Series ID,"Jan
2020","Feb
2020","Mar
2020","Apr
2020","May
2020","Jun
2020","Jul
2020","Aug
2020","Sep
2020","Oct
2020","Nov
2020","Dec
2020","Jan
2021","Feb
2021","Mar
2021","Apr
2021"
LASST010000000000003,2.7,2.6,2.6,13.2,7.9,7.7,7.4,7.1,6.7,4.7,4.7,4.7,4.3,4,3.8,3.6
LASST010000000000004,59405,58639,57895,288253,174680,171721,165510,156709,147334,107301,105558,106318,97725,91041,84716,79332
LASST010000000000005,2180872,2177852,2176275,1899019,2044109,2049715,2056348,2061877,2065378,2158999,2158343,2157736,2160236,2157723,2151242,2152651
LASST010000000000006,2240277,2236491,2234170,2187272,2218789,2221436,2221858,2218586,2212712,2266300,2263901,2264054,2257961,2248764,2235958,2231983
LASST010000000000007,56.3,56.2,56.1,49,52.7,52.8,53,53.1,53.2,55.6,55.5,55.5,55.5,55.5,55.3,55.3
LASST010000000000008,57.8,57.7,57.6,56.4,57.2,57.3,57.3,57.1,57,58.3,58.2,58.2,58,57.8,57.4,57.3
LASST020000000000003,5,5.1,5.1,11.8,11.6,11.3,11,7.2,7,6.5,6.5,6.5,6.6,6.6,6.7,6.7
LASST020000000000004,17657,17917,18073,40680,40112,39132,37841,24073,23272,22904,23002,23147,23585,23305,23355,23629
LASST020000000000005,335692,335023,334331,304991,305247,306122,307513,308923,309975,331171,331069,330888,331373,327753,325441,327455
LASST020000000000006,353349,352940,352404,345671,345359,345254,345354,332996,333247,354075,354071,354035,354958,351058,348796,351084
LASST020000000000007,61.5,61.4,61.2,55.9,55.9,56.1,56.4,56.7,56.8,60.7,60.7,60.7,60.8,60.2,59.8,60.1
LASST020000000000008,64.7,64.7,64.6,63.3,63.3,63.3,63.3,61.1,61.1,64.9,65,65,65.1,64.5,64.1,64.5
LASST040000000000003,4.8,4.9,5,14.2,10.6,10.7,10.4,7,6.9,6.8,6.8,6.8,6.7,6.9,6.7,6.7
LASST040000000000004,171670,176289,180953,504698,382642,381137,377224,245780,242642,241312,241754,242410,239896,247405,240210,239495
LASST040000000000005,3409624,3407756,3406748,3040409,3236482,3180733,3233654,3272951,3299327,3315121,3322173,3326907,3331367,3333226,3346947,3358901
LASST040000000000006,3581294,3584045,3587701,3545107,3619124,3561870,3610878,3518731,3541969,3556433,3563927,3569317,3571263,3580631,3587157,3598396
LASST040000000000007,58.8,58.6,58.5,52.1,55.4,54.3,55.2,55.7,56,56.2,56.2,56.2,56.2,56.1,56.2,56.3
